epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,315.12,2.02697,1.81639,1.54744,0.29112,0.28358,0.20137,0.07007,2.47944,2.16052,1.74887,0.000725094,0.000725094,0.000725094
55,320.156,2.05849,1.75494,1.52474,0.37126,0.28358,0.1991,0.06089,2.56889,2.29371,1.74313,0.000715761,0.000715761,0.000715761
56,326.307,2.07694,1.77847,1.51,0.24969,0.32288,0.22505,0.0669,2.50138,2.14974,1.77856,0.000706335,0.000706335,0.000706335
57,331.538,2.05815,1.79554,1.54758,0.30795,0.23881,0.19268,0.06162,2.49115,2.13813,1.83502,0.00069682,0.00069682,0.00069682
58,338.019,2.06376,1.7047,1.49277,0.24395,0.32836,0.20915,0.06927,2.48301,2.14037,1.82465,0.000687222,0.000687222,0.000687222
59,343.498,2.03561,1.72471,1.49815,0.263,0.31343,0.24388,0.0774,2.41717,2.14051,1.72261,0.000677543,0.000677543,0.000677543
60,348.652,2.05049,1.69359,1.46393,0.27853,0.28358,0.22788,0.07486,2.41777,2.14393,1.69554,0.000667789,0.000667789,0.000667789
61,354.246,2.03651,1.67747,1.44689,0.35916,0.37313,0.2733,0.0819,2.46342,2.09275,1.71105,0.000657963,0.000657963,0.000657963
62,359.407,2.00767,1.6263,1.44244,0.31048,0.28358,0.2085,0.06278,2.47592,2.15656,1.66408,0.000648071,0.000648071,0.000648071
63,365.473,2.047,1.69784,1.48249,0.34433,0.34328,0.27443,0.08707,2.44658,2.05001,1.69529,0.000638115,0.000638115,0.000638115
64,370.978,2.03692,1.7167,1.52639,0.30678,0.29851,0.26105,0.07833,2.56485,2.14665,1.78135,0.000628101,0.000628101,0.000628101
65,377.33,1.98658,1.67131,1.47982,0.37863,0.34328,0.27135,0.07578,2.54879,2.14233,1.80056,0.000618034,0.000618034,0.000618034
66,383.017,1.9944,1.63885,1.45142,0.40585,0.25373,0.24613,0.07019,2.56207,2.16911,1.77671,0.000607916,0.000607916,0.000607916
67,388.953,1.9749,1.70374,1.51347,0.30166,0.29851,0.24933,0.06691,2.56801,2.19559,1.78917,0.000597754,0.000597754,0.000597754
68,394.661,2.01823,1.71183,1.52951,0.28647,0.20896,0.21124,0.06115,2.65461,2.24401,1.8189,0.000587551,0.000587551,0.000587551
69,399.769,1.95028,1.60811,1.45407,0.29431,0.43284,0.25347,0.0715,2.53922,2.18528,1.77353,0.000577311,0.000577311,0.000577311
70,406.063,2.00773,1.67881,1.51832,0.3644,0.2824,0.22553,0.06799,2.53163,2.24675,1.73812,0.00056704,0.00056704,0.00056704
